City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nova sintra,14.8667,-24.7167,22.89,79,100,6.48,CV,1690225616
1,yuzhno-kurilsk,44.0306,145.8556,17.06,99,100,2.15,RU,1690225616
2,port-aux-francais,-49.35,70.2167,3.8,70,100,11.01,TF,1690225616
3,fale old settlement,-9.3852,-171.2468,28.73,71,9,7.85,TK,1690225616
4,hammerfest,70.6634,23.6821,11.25,87,75,2.57,NO,1690225616
5,grytviken,-54.2811,-36.5092,-5.98,76,18,4.69,GS,1690225452
6,adamstown,-25.066,-130.1015,19.96,68,29,4.21,PN,1690225600
7,nizhniy kuranakh,58.8353,125.4869,16.41,90,100,0.93,RU,1690225617
8,lompoc,34.6391,-120.4579,33.21,67,75,3.6,US,1690225572
9,codrington,-38.2667,141.9667,11.69,68,100,1.72,AU,1690225617
10,blackmans bay,-43.0167,147.3167,7.07,83,91,2.18,AU,1690225614
11,utrik,11.2278,169.8474,28.24,76,80,7.34,MH,1690225617
12,ilulissat,69.2167,-51.1,8.01,87,20,2.06,GL,1690225611
13,hawaiian paradise park,19.5933,-154.9731,26.73,87,100,2.57,US,1690225502
14,khark,29.2614,50.3306,34.32,59,74,5.19,IR,1690225618
15,invercargill,-46.4,168.35,7.02,88,100,3.96,NZ,1690225618
16,grand forks,47.9417,-97.4337,30.4,50,20,3.6,US,1690225595
17,torghay,49.6339,63.4981,27.66,24,56,5.3,KZ,1690225618
18,bilibino,68.0546,166.4372,9.84,92,100,0.51,RU,1690225618
19,ushuaia,-54.8,-68.3,-2.05,83,100,2.45,AR,1690225619
20,madalena,41.2162,-8.3345,21.42,68,8,4.12,PT,1690225619
21,papatowai,-46.5619,169.4708,6.56,88,61,3.21,NZ,1690225619
22,lebu,-37.6167,-73.65,10.77,85,100,8.36,CL,1690225619
23,stanley,54.868,-1.6985,13.21,78,75,1.03,GB,1690225619
24,borogontsy,62.6683,131.1683,18.5,79,18,2.17,RU,1690225620
25,waitangi,-43.9535,-176.5597,12.12,98,100,3.13,NZ,1690225454
26,nemuro,43.3236,145.575,16.16,95,100,5.62,JP,1690225620
27,east london,-33.0153,27.9116,14.23,60,0,3.34,ZA,1690225620
28,center line,42.485,-83.0277,30.13,53,20,4.12,US,1690225620
29,praya,14.9215,-23.5087,26.24,77,96,5.09,CV,1690225621
30,tiksi,71.6872,128.8694,3.57,83,20,1.86,RU,1690225621
31,susuman,62.7833,148.1667,12.26,70,23,1.37,RU,1690225621
32,kristiansund,63.1115,7.732,16.03,72,75,6.17,NO,1690225621
33,vorgashor,67.5833,63.95,16.66,71,100,1.71,RU,1690225621
34,kodiak,57.79,-152.4072,12.73,76,100,4.12,US,1690225517
35,bethel,41.3712,-73.414,30.57,54,40,4.63,US,1690225452
36,korla,41.7597,86.1469,28.67,32,100,5.42,CN,1690225622
37,carutapera,-1.195,-46.02,28.16,76,8,3.41,BR,1690225418
38,edinburgh of the seven seas,-37.0676,-12.3116,15.02,75,86,16.4,SH,1690225622
39,wagar,16.1525,36.2032,37.24,26,50,4.49,SD,1690225623
40,igarka,67.4667,86.5833,15.1,72,46,2.16,RU,1690225623
41,naze,28.3667,129.4833,26.51,83,100,5.95,JP,1690225623
42,enewetak,11.3474,162.3373,28.48,76,58,6.86,MH,1690225623
43,aykhal,66.0,111.5,12.93,91,97,3.03,RU,1690225624
44,shalqar,47.8333,59.6,29.6,26,0,6.13,KZ,1690225624
45,zaysan,47.4667,84.8667,20.46,28,7,3.82,KZ,1690225624
46,iskateley,67.6803,53.1512,16.43,73,100,2.67,RU,1690225624
47,suixi,33.8907,116.7747,27.86,76,100,0.97,CN,1690225520
48,ballina,-28.8667,153.5667,9.88,61,54,5.36,AU,1690225625
49,san juan de miraflores,-12.1629,-76.9635,23.29,75,56,5.1,PE,1690225625
50,albany,42.6001,-73.9662,27.12,61,71,0.89,US,1690225403
51,cockburn town,21.4612,-71.1419,28.53,77,5,6.95,TC,1690225626
52,yellowknife,62.456,-114.3525,21.98,49,4,2.24,CA,1690225626
53,olyokminsk,60.3736,120.4264,18.96,77,5,1.18,RU,1690225150
54,ghanzi,-21.5667,21.7833,18.07,28,9,2.96,BW,1690225528
55,keflavik,64.0049,-22.5624,12.24,82,100,3.6,IS,1690225631
56,chonchi,-42.6128,-73.8092,7.56,95,100,4.21,CL,1690225632
57,huntsville,34.7304,-86.5861,32.95,52,0,3.09,US,1690225380
58,berja,36.8469,-2.9497,27.64,40,0,3.97,ES,1690225632
59,bari,41.1177,16.8512,35.19,40,0,6.17,IT,1690225577
60,ventnor,50.5948,-1.2037,16.88,91,98,5.02,GB,1690225632
61,port alfred,-33.5906,26.891,12.59,67,0,4.62,ZA,1690225633
62,punta arenas,-53.15,-70.9167,-0.71,74,100,2.7,CL,1690225377
63,surgana,20.5667,73.6167,22.76,95,99,3.78,IN,1690225633
64,st. john's,47.5649,-52.7093,25.15,83,75,8.23,CA,1690225633
65,quellon,-43.1167,-73.6167,9.14,87,100,11.32,CL,1690225499
66,tabou,4.423,-7.3528,25.36,84,100,4.02,CI,1690225634
67,hamilton,39.1834,-84.5333,31.54,60,100,7.2,US,1690225634
68,lorengau,-2.0226,147.2712,24.75,91,100,2.24,PG,1690225538
69,palu,-0.8917,119.8707,24.09,96,31,0.78,ID,1690225485
70,kavaratti,10.5669,72.642,28.24,80,100,8.18,IN,1690225634
71,international falls,48.6011,-93.411,27.3,41,0,2.57,US,1690225635
72,kruisfontein,-34.0033,24.7314,7.16,75,0,3.04,ZA,1690225635
73,khandyga,62.6667,135.6,15.88,86,49,2.21,RU,1690225635
74,sarh,9.1429,18.3923,26.71,74,88,0.58,TD,1690225635
75,thompson,55.7435,-97.8558,27.64,25,12,3.2,CA,1690225636
76,kodinsk,58.6881,99.1844,15.98,95,91,1.24,RU,1690225636
77,iqaluit,63.7506,-68.5145,7.61,75,100,4.47,CA,1690225636
78,new norfolk,-42.7826,147.0587,7.72,88,96,1.82,AU,1690225636
79,port elizabeth,-33.918,25.5701,10.16,81,0,2.57,ZA,1690225535
80,severo-yeniseyskiy,60.3725,93.0408,13.38,94,35,0.93,RU,1690225637
81,valguarnera caropepe,37.4955,14.3888,31.55,31,0,2.79,IT,1690225637
82,san giorgio di nogaro,45.8336,13.2158,25.98,76,75,2.57,IT,1690225637
83,pacific grove,36.6177,-121.9166,25.67,81,40,4.92,US,1690225020
84,west island,-12.1568,96.8225,24.99,78,75,8.23,CC,1690225610
85,crane,31.3974,-102.3501,37.65,16,0,5.62,US,1690225637
86,puerto natales,-51.7236,-72.4875,-3.21,76,100,0.73,CL,1690225378
87,sal rei,16.1833,-22.9167,24.96,77,100,5.51,CV,1690225638
88,villa de soto,-30.8552,-64.9995,18.0,27,100,2.35,AR,1690225638
89,luderitz,-26.6481,15.1594,14.22,63,100,5.54,NA,1690225638
90,phalaborwa,-23.943,31.1411,18.3,79,20,6.09,ZA,1690225638
91,south venice,27.0531,-82.4243,33.99,68,20,4.12,US,1690225639
92,cidreira,-30.1811,-50.2056,17.24,95,100,4.43,BR,1690225639
93,jamestown,42.097,-79.2353,26.12,63,100,4.63,US,1690225514
94,yatagan,37.3403,28.1428,29.51,40,0,2.65,TR,1690225639
95,yakeshi,49.2833,120.7333,14.64,86,21,1.66,CN,1690225639
96,lubang,13.8584,120.124,28.69,80,100,8.51,PH,1690225640
97,varzea da palma,-17.5981,-44.7308,28.33,37,81,1.99,BR,1690225640
98,ingeniero jacobacci,-41.3427,-69.5448,2.63,74,85,8.57,AR,1690225640
99,ribeira grande,38.5167,-28.7,23.21,88,75,4.02,PT,1690225641
100,jalqani,12.4486,34.2186,26.2,76,30,4.9,SD,1690225641
101,yung shue wan,22.2333,114.1167,29.76,80,97,2.79,HK,1690225641
102,grand falls-windsor,48.9332,-55.6649,26.12,65,100,4.24,CA,1690225642
103,olonkinbyen,70.9221,-8.7187,4.94,92,100,5.84,SJ,1690225642
104,tarko-sale,64.9225,77.785,20.66,53,69,2.76,RU,1690225642
105,bardai,11.65,7.2333,25.69,66,43,2.73,NG,1690225643
106,saiki,32.95,131.9,25.08,94,16,2.56,JP,1690225643
107,hassi messaoud,31.6804,6.0729,39.26,6,0,4.12,DZ,1690225643
108,ixtapa,20.7,-105.2,32.35,70,75,4.63,MX,1690225643
109,margaret river,-33.95,115.0667,16.51,78,10,8.56,AU,1690225608
110,christchurch,-43.5333,172.6333,5.51,94,100,0.89,NZ,1690225384
111,kapa'a,22.0752,-159.319,28.18,80,100,7.2,US,1690225644
112,matinha,-3.1006,-45.0336,33.9,37,34,2.14,BR,1690225644
113,bethanie,-26.4833,17.15,14.36,16,100,2.19,NA,1690225645
114,vovchans'k,50.3003,36.9467,21.67,59,43,1.48,UA,1690225645
115,los banos,14.1667,121.1833,26.55,93,100,3.61,PH,1690225645
116,walvis bay,-22.9575,14.5053,12.27,72,86,1.34,NA,1690225645
117,college,64.8569,-147.8028,26.78,61,40,0.0,US,1690225378
118,atafu village,-8.5421,-172.5159,28.98,70,17,7.77,TK,1690225450
119,saldanha,-33.0117,17.9442,11.02,69,0,4.78,ZA,1690225646
120,wicklow,53.0,-6.4167,13.34,86,100,1.73,IE,1690225548
121,broome,42.2506,-75.833,28.14,65,40,5.14,US,1690225647
122,kapuskasing,49.4169,-82.4331,22.05,49,75,4.63,CA,1690225440
123,hinis,39.3606,41.7022,16.69,73,0,3.94,TR,1690225647
124,puerto santa,-8.9906,-78.6456,23.23,69,7,6.0,PE,1690225648
125,alice springs,-23.7,133.8833,4.75,81,0,0.0,AU,1690225560
126,gadzhiyevo,69.2551,33.3362,9.29,97,100,6.03,RU,1690225617
127,thinadhoo,0.5333,72.9333,28.34,79,100,6.26,MV,1690225648
128,gubkinskiy,64.434,76.5026,21.22,48,100,3.27,RU,1690225648
129,port lincoln,-34.7333,135.8667,13.17,71,88,4.21,AU,1690225649
130,nova soure,-11.2333,-38.4833,28.5,39,3,7.5,BR,1690225649
131,lhuentse,27.6679,91.1839,21.17,95,100,0.5,BT,1690225649
132,rio grande,-32.035,-52.0986,14.06,93,100,7.81,BR,1690225649
133,yeppoon,-23.1333,150.7333,14.88,88,100,9.81,AU,1690225649
134,longyearbyen,78.2186,15.6401,12.91,67,75,7.2,SJ,1690225401
